hour,high_pollution_count
10,37
11,36
9,35
12,32
13,29
8,29
7,26
6,21
14,20
5,15
4,12
15,12
3,11
2,10
18,8
1,7
17,7
16,7
19,6
0,5
20,5
23,5
21,4
22,4
