siteid,sitename,monitordate,aqi,o38subindex,o3subindex,pm25subindex,pm10subindex,cosubindex,so2subindex,no2subindex
49,仁武,2026-03-14,88,77.0,,88.0,86.0,5.0,19.0,58.0
48,橋頭,2026-03-14,90,77.0,,90.0,82.0,5.0,12.0,51.0
47,美濃,2026-03-14,101,101.0,,74.0,68.0,2.0,0.0,17.0
46,臺南,2026-03-14,76,74.0,,75.0,76.0,5.0,31.0,62.0
45,安南,2026-03-14,80,80.0,,77.0,72.0,5.0,25.0,54.0
44,善化,2026-03-14,81,77.0,,81.0,73.0,5.0,31.0,50.0
43,新營,2026-03-14,82,77.0,,82.0,73.0,5.0,19.0,51.0
42,嘉義,2026-03-14,101,101.0,,85.0,79.0,3.0,19.0,38.0
41,臺西,2026-03-14,76,,,76.0,72.0,3.0,19.0,36.0
40,朴子,2026-03-14,87,87.0,,73.0,73.0,3.0,19.0,40.0
39,新港,2026-03-14,93,93.0,,76.0,79.0,5.0,19.0,45.0
38,崙背,2026-03-14,93,84.0,,93.0,78.0,5.0,12.0,40.0
37,斗六,2026-03-14,108,108.0,,87.0,79.0,3.0,12.0,33.0
36,南投,2026-03-14,126,126.0,,,,2.0,6.0,29.0
35,二林,2026-03-14,87,87.0,,79.0,78.0,3.0,25.0,33.0
34,線西,2026-03-14,76,,,76.0,65.0,3.0,38.0,53.0
33,彰化,2026-03-14,74,74.0,,73.0,65.0,3.0,25.0,45.0
32,西屯,2026-03-14,84,84.0,,70.0,71.0,5.0,12.0,59.0
31,忠明,2026-03-14,90,90.0,,83.0,72.0,5.0,19.0,56.0
30,大里,2026-03-14,97,97.0,,78.0,71.0,5.0,25.0,40.0
29,沙鹿,2026-03-14,82,77.0,,82.0,67.0,5.0,12.0,62.0
28,豐原,2026-03-14,108,108.0,,65.0,61.0,3.0,12.0,48.0
27,三義,2026-03-14,90,90.0,,62.0,54.0,2.0,6.0,26.0
26,苗栗,2026-03-14,58,58.0,,56.0,48.0,2.0,19.0,48.0
25,頭份,2026-03-14,52,,,52.0,52.0,2.0,6.0,40.0
24,新竹,2026-03-14,54,54.0,,45.0,48.0,2.0,6.0,36.0
23,竹東,2026-03-14,64,64.0,,52.0,42.0,2.0,12.0,29.0
22,湖口,2026-03-14,51,51.0,,49.0,50.0,2.0,0.0,26.0
21,龍潭,2026-03-14,53,49.0,,53.0,47.0,2.0,19.0,43.0
20,平鎮,2026-03-14,55,48.0,,55.0,50.0,3.0,6.0,26.0
19,觀音,2026-03-14,52,50.0,,49.0,52.0,2.0,19.0,26.0
18,大園,2026-03-14,53,47.0,,53.0,50.0,2.0,12.0,45.0
17,桃園,2026-03-14,50,49.0,,49.0,50.0,2.0,6.0,26.0
16,大同,2026-03-14,62,,,55.0,45.0,5.0,12.0,62.0
15,松山,2026-03-14,54,47.0,,54.0,51.0,2.0,12.0,52.0
14,古亭,2026-03-14,48,48.0,,46.0,47.0,2.0,6.0,31.0
13,萬華,2026-03-14,51,43.0,,48.0,45.0,2.0,12.0,51.0
12,中山,2026-03-14,56,44.0,,56.0,51.0,3.0,6.0,48.0
11,士林,2026-03-14,59,48.0,,42.0,59.0,2.0,12.0,31.0
10,淡水,2026-03-14,52,47.0,,52.0,48.0,2.0,12.0,45.0
9,林口,2026-03-14,49,49.0,,48.0,45.0,2.0,12.0,26.0
8,菜寮,2026-03-14,48,48.0,,44.0,40.0,3.0,6.0,43.0
7,新莊,2026-03-14,54,51.0,,54.0,,2.0,6.0,21.0
6,板橋,2026-03-14,59,48.0,,59.0,47.0,2.0,0.0,38.0
5,土城,2026-03-14,49,49.0,,41.0,47.0,2.0,0.0,29.0
4,新店,2026-03-14,47,47.0,,45.0,47.0,2.0,6.0,31.0
2,汐止,2026-03-14,58,49.0,,55.0,45.0,3.0,6.0,58.0
1,基隆,2026-03-14,50,50.0,,46.0,43.0,2.0,6.0,36.0
140,林森,2026-03-13,88,,,75.0,88.0,6.0,12.0,54.0
139,員林,2026-03-13,79,74.0,,79.0,70.0,3.0,12.0,38.0
88,臺灣大道,2026-03-13,73,,,73.0,62.0,6.0,6.0,55.0
85,大城,2026-03-13,84,84.0,,83.0,83.0,2.0,12.0,12.0
84,富貴角,2026-03-13,93,93.0,,85.0,81.0,1.0,0.0,7.0
83,麥寮,2026-03-13,105,,,86.0,105.0,2.0,19.0,19.0
80,關山,2026-03-13,56,51.0,,56.0,52.0,1.0,6.0,10.0
78,馬公,2026-03-13,81,80.0,,81.0,68.0,2.0,6.0,7.0
77,金門,2026-03-13,101,101.0,,84.0,68.0,2.0,12.0,26.0
75,馬祖,2026-03-13,101,100.0,,101.0,82.0,2.0,6.0,14.0
72,埔里,2026-03-13,61,61.0,,59.0,50.0,2.0,6.0,26.0
71,復興,2026-03-13,80,,,73.0,80.0,3.0,12.0,54.0
70,永和,2026-03-13,67,,,67.0,60.0,5.0,6.0,53.0
69,竹山,2026-03-13,84,84.0,,66.0,64.0,2.0,12.0,31.0
68,中壢,2026-03-13,79,,,79.0,64.0,5.0,6.0,56.0
67,三重,2026-03-13,77,,,77.0,67.0,9.0,12.0,67.0
66,冬山,2026-03-13,64,54.0,,64.0,55.0,2.0,6.0,19.0
65,宜蘭,2026-03-13,62,49.0,,62.0,52.0,2.0,6.0,14.0
64,陽明,2026-03-13,71,71.0,,67.0,58.0,2.0,6.0,7.0
63,花蓮,2026-03-13,56,51.0,,56.0,52.0,2.0,12.0,19.0
62,臺東,2026-03-13,65,58.0,,61.0,65.0,2.0,6.0,10.0
61,恆春,2026-03-13,71,71.0,,55.0,52.0,1.0,0.0,2.0
60,潮州,2026-03-13,93,93.0,,77.0,79.0,2.0,12.0,24.0
59,屏東,2026-03-13,93,93.0,,78.0,81.0,5.0,25.0,45.0
58,小港,2026-03-13,82,77.0,,82.0,80.0,3.0,19.0,57.0
57,前鎮,2026-03-13,74,,,68.0,74.0,3.0,12.0,52.0
56,前金,2026-03-13,104,104.0,,75.0,78.0,3.0,12.0,48.0
54,左營,2026-03-13,90,90.0,,75.0,74.0,3.0,6.0,50.0
53,楠梓,2026-03-13,93,93.0,,77.0,84.0,2.0,12.0,43.0
52,林園,2026-03-13,90,90.0,,73.0,76.0,3.0,19.0,51.0
51,大寮,2026-03-13,90,90.0,,78.0,77.0,3.0,25.0,53.0
50,鳳山,2026-03-13,76,,,76.0,76.0,5.0,19.0,57.0
49,仁武,2026-03-13,87,87.0,,76.0,77.0,3.0,25.0,59.0
48,橋頭,2026-03-13,100,100.0,,82.0,78.0,3.0,12.0,40.0
47,美濃,2026-03-13,108,108.0,,70.0,72.0,2.0,12.0,19.0
46,臺南,2026-03-13,90,90.0,,72.0,78.0,3.0,19.0,51.0
45,安南,2026-03-13,84,84.0,,74.0,80.0,3.0,12.0,40.0
44,善化,2026-03-13,87,87.0,,73.0,73.0,2.0,19.0,36.0
43,新營,2026-03-13,88,80.0,,81.0,88.0,2.0,12.0,38.0
42,嘉義,2026-03-13,84,84.0,,77.0,78.0,3.0,19.0,43.0
41,臺西,2026-03-13,90,,,75.0,90.0,2.0,12.0,19.0
40,朴子,2026-03-13,92,87.0,,74.0,92.0,2.0,6.0,21.0
39,新港,2026-03-13,87,87.0,,73.0,86.0,2.0,19.0,29.0
38,崙背,2026-03-13,102,71.0,,88.0,102.0,3.0,19.0,40.0
37,斗六,2026-03-13,97,97.0,,74.0,71.0,2.0,12.0,33.0
36,南投,2026-03-13,74,74.0,,70.0,57.0,3.0,6.0,45.0
35,二林,2026-03-13,96,71.0,,75.0,96.0,3.0,25.0,26.0
34,線西,2026-03-13,84,,,84.0,74.0,5.0,31.0,38.0
33,彰化,2026-03-13,78,61.0,,78.0,71.0,3.0,12.0,43.0
32,西屯,2026-03-13,67,67.0,,64.0,63.0,2.0,12.0,45.0
31,忠明,2026-03-13,67,58.0,,67.0,64.0,3.0,12.0,51.0
30,大里,2026-03-13,64,64.0,,55.0,59.0,3.0,6.0,48.0
29,沙鹿,2026-03-13,79,67.0,,79.0,67.0,2.0,12.0,36.0
28,豐原,2026-03-13,74,74.0,,60.0,50.0,2.0,12.0,29.0
27,三義,2026-03-13,71,71.0,,64.0,53.0,2.0,6.0,24.0
26,苗栗,2026-03-13,70,64.0,,70.0,57.0,2.0,6.0,33.0
25,頭份,2026-03-13,67,,,67.0,65.0,2.0,6.0,24.0
24,新竹,2026-03-13,65,51.0,,65.0,63.0,2.0,12.0,31.0
23,竹東,2026-03-13,67,67.0,,66.0,55.0,2.0,6.0,14.0
22,湖口,2026-03-13,65,51.0,,65.0,61.0,2.0,19.0,24.0
21,龍潭,2026-03-13,66,50.0,,66.0,61.0,2.0,6.0,24.0
20,平鎮,2026-03-13,72,46.0,,72.0,64.0,3.0,6.0,36.0
19,觀音,2026-03-13,71,54.0,,71.0,71.0,2.0,12.0,26.0
18,大園,2026-03-13,73,49.0,,73.0,64.0,2.0,12.0,54.0
17,桃園,2026-03-13,66,47.0,,66.0,60.0,3.0,12.0,48.0
16,大同,2026-03-13,75,,,75.0,60.0,8.0,12.0,67.0
15,松山,2026-03-13,71,54.0,,71.0,63.0,2.0,6.0,52.0
14,古亭,2026-03-13,66,46.0,,66.0,62.0,2.0,6.0,45.0
13,萬華,2026-03-13,70,49.0,,70.0,58.0,3.0,12.0,53.0
12,中山,2026-03-13,76,50.0,,76.0,64.0,3.0,6.0,52.0
11,士林,2026-03-13,64,64.0,,63.0,62.0,2.0,6.0,21.0
10,淡水,2026-03-13,73,46.0,,73.0,58.0,3.0,6.0,36.0
9,林口,2026-03-13,74,54.0,,74.0,60.0,2.0,12.0,54.0
8,菜寮,2026-03-13,69,58.0,,69.0,55.0,3.0,0.0,40.0
7,新莊,2026-03-13,74,50.0,,74.0,68.0,2.0,0.0,40.0
6,板橋,2026-03-13,72,48.0,,72.0,58.0,3.0,6.0,53.0
5,土城,2026-03-13,59,49.0,,59.0,59.0,3.0,6.0,36.0
4,新店,2026-03-13,58,47.0,,58.0,54.0,2.0,6.0,50.0
2,汐止,2026-03-13,69,54.0,,69.0,59.0,2.0,6.0,53.0
1,基隆,2026-03-13,71,71.0,,68.0,60.0,2.0,6.0,21.0
140,林森,2026-03-12,92,,,67.0,92.0,6.0,12.0,52.0
139,員林,2026-03-12,67,67.0,,55.0,59.0,2.0,6.0,40.0
88,臺灣大道,2026-03-12,52,,,52.0,50.0,3.0,0.0,52.0
85,大城,2026-03-12,80,80.0,,57.0,61.0,1.0,19.0,19.0
84,富貴角,2026-03-12,87,87.0,,58.0,62.0,1.0,0.0,5.0
83,麥寮,2026-03-12,102,,,59.0,102.0,2.0,19.0,33.0
80,關山,2026-03-12,44,44.0,,32.0,23.0,1.0,6.0,14.0
78,馬公,2026-03-12,77,77.0,,59.0,53.0,1.0,6.0,5.0
77,金門,2026-03-12,112,112.0,,74.0,61.0,2.0,6.0,21.0
75,馬祖,2026-03-12,104,104.0,,76.0,64.0,3.0,31.0,33.0
72,埔里,2026-03-12,51,48.0,,51.0,35.0,3.0,6.0,21.0
71,復興,2026-03-12,93,,,78.0,93.0,6.0,12.0,57.0
70,永和,2026-03-12,54,,,51.0,50.0,5.0,6.0,54.0
69,竹山,2026-03-12,70,67.0,,59.0,70.0,2.0,12.0,43.0
68,中壢,2026-03-12,57,,,53.0,50.0,6.0,6.0,57.0
67,三重,2026-03-12,67,,,55.0,52.0,8.0,6.0,67.0
66,冬山,2026-03-12,51,51.0,,47.0,45.0,1.0,6.0,14.0
65,宜蘭,2026-03-12,51,51.0,,44.0,37.0,1.0,6.0,14.0
64,陽明,2026-03-12,64,64.0,,36.0,40.0,2.0,6.0,5.0
63,花蓮,2026-03-12,45,45.0,,40.0,45.0,2.0,6.0,17.0
62,臺東,2026-03-12,49,49.0,,36.0,43.0,1.0,6.0,12.0
61,恆春,2026-03-12,54,54.0,,39.0,32.0,1.0,0.0,2.0
60,潮州,2026-03-12,132,132.0,,70.0,73.0,2.0,6.0,29.0
59,屏東,2026-03-12,80,80.0,,67.0,78.0,2.0,6.0,33.0
58,小港,2026-03-12,96,71.0,,86.0,96.0,5.0,12.0,59.0
57,前鎮,2026-03-12,82,,,74.0,82.0,5.0,12.0,52.0
56,前金,2026-03-12,103,71.0,,79.0,103.0,5.0,12.0,53.0
54,左營,2026-03-12,94,64.0,,75.0,94.0,5.0,12.0,45.0
53,楠梓,2026-03-12,92,67.0,,79.0,92.0,3.0,12.0,51.0
52,林園,2026-03-12,97,64.0,,79.0,97.0,3.0,19.0,56.0
51,大寮,2026-03-12,90,71.0,,78.0,90.0,3.0,31.0,43.0
50,鳳山,2026-03-12,88,,,81.0,88.0,6.0,19.0,56.0
49,仁武,2026-03-12,89,61.0,,83.0,89.0,6.0,19.0,57.0
48,橋頭,2026-03-12,92,61.0,,79.0,92.0,3.0,12.0,50.0
47,美濃,2026-03-12,80,80.0,,58.0,63.0,2.0,6.0,19.0
46,臺南,2026-03-12,91,58.0,,64.0,91.0,3.0,19.0,52.0
45,安南,2026-03-12,102,61.0,,61.0,102.0,3.0,19.0,52.0
44,善化,2026-03-12,81,61.0,,65.0,81.0,3.0,12.0,38.0
43,新營,2026-03-12,83,54.0,,62.0,83.0,3.0,19.0,48.0
42,嘉義,2026-03-12,72,54.0,,60.0,72.0,2.0,25.0,40.0
41,臺西,2026-03-12,64,,,53.0,64.0,2.0,12.0,17.0
40,朴子,2026-03-12,101,64.0,,54.0,101.0,2.0,12.0,38.0
39,新港,2026-03-12,89,58.0,,52.0,89.0,2.0,25.0,43.0
38,崙背,2026-03-12,100,54.0,,65.0,100.0,3.0,25.0,48.0
37,斗六,2026-03-12,90,77.0,,62.0,90.0,2.0,12.0,33.0
36,南投,2026-03-12,61,61.0,,57.0,55.0,2.0,6.0,43.0
35,二林,2026-03-12,89,64.0,,53.0,89.0,2.0,19.0,26.0
34,線西,2026-03-12,67,,,59.0,67.0,3.0,19.0,29.0
33,彰化,2026-03-12,58,54.0,,44.0,58.0,2.0,6.0,33.0
32,西屯,2026-03-12,61,61.0,,35.0,52.0,1.0,6.0,33.0
31,忠明,2026-03-12,55,54.0,,47.0,55.0,2.0,12.0,29.0
30,大里,2026-03-12,51,50.0,,40.0,51.0,2.0,6.0,43.0
29,沙鹿,2026-03-12,64,64.0,,53.0,57.0,1.0,6.0,24.0
28,豐原,2026-03-12,74,74.0,,36.0,38.0,2.0,12.0,24.0
27,三義,2026-03-12,67,67.0,,42.0,38.0,1.0,6.0,17.0
26,苗栗,2026-03-12,58,58.0,,46.0,38.0,1.0,6.0,31.0
25,頭份,2026-03-12,45,,,40.0,45.0,2.0,12.0,40.0
24,新竹,2026-03-12,49,49.0,,38.0,43.0,2.0,12.0,33.0
23,竹東,2026-03-12,54,54.0,,42.0,38.0,2.0,6.0,38.0
22,湖口,2026-03-12,54,54.0,,36.0,43.0,2.0,6.0,21.0
21,龍潭,2026-03-12,49,49.0,,48.0,47.0,2.0,12.0,33.0
20,平鎮,2026-03-12,51,47.0,,51.0,48.0,3.0,6.0,45.0
19,觀音,2026-03-12,51,51.0,,41.0,45.0,1.0,6.0,17.0
18,大園,2026-03-12,54,49.0,,44.0,45.0,1.0,12.0,54.0
17,桃園,2026-03-12,49,49.0,,42.0,45.0,3.0,6.0,36.0
16,大同,2026-03-12,61,,,52.0,42.0,8.0,12.0,61.0
15,松山,2026-03-12,49,49.0,,46.0,48.0,2.0,6.0,43.0
14,古亭,2026-03-12,48,48.0,,44.0,45.0,2.0,6.0,31.0
13,萬華,2026-03-12,46,43.0,,46.0,42.0,2.0,12.0,45.0
12,中山,2026-03-12,48,44.0,,48.0,48.0,3.0,6.0,45.0
11,士林,2026-03-12,58,58.0,,37.0,47.0,2.0,6.0,52.0
10,淡水,2026-03-12,50,50.0,,46.0,40.0,2.0,6.0,29.0
9,林口,2026-03-12,48,48.0,,41.0,42.0,2.0,12.0,36.0
8,菜寮,2026-03-12,59,48.0,,43.0,40.0,2.0,6.0,59.0
7,新莊,2026-03-12,53,51.0,,52.0,52.0,2.0,0.0,53.0
6,板橋,2026-03-12,57,48.0,,52.0,43.0,3.0,19.0,57.0
5,土城,2026-03-12,48,48.0,,33.0,43.0,2.0,6.0,36.0
4,新店,2026-03-12,50,49.0,,39.0,40.0,2.0,6.0,50.0
2,汐止,2026-03-12,52,49.0,,49.0,42.0,2.0,6.0,52.0
1,基隆,2026-03-12,58,58.0,,42.0,47.0,2.0,6.0,12.0
140,林森,2026-03-11,71,,,71.0,69.0,5.0,12.0,48.0
139,員林,2026-03-11,61,61.0,,53.0,53.0,2.0,6.0,40.0
88,臺灣大道,2026-03-11,56,,,48.0,38.0,6.0,6.0,56.0
85,大城,2026-03-11,84,84.0,,50.0,52.0,2.0,12.0,21.0
84,富貴角,2026-03-11,67,67.0,,39.0,47.0,1.0,0.0,2.0
83,麥寮,2026-03-11,64,,,48.0,64.0,3.0,12.0,36.0
80,關山,2026-03-11,41,41.0,,25.0,17.0,1.0,6.0,12.0
78,馬公,2026-03-11,77,77.0,,48.0,48.0,1.0,0.0,7.0
77,金門,2026-03-11,104,104.0,,84.0,63.0,3.0,19.0,29.0
75,馬祖,2026-03-11,93,93.0,,60.0,52.0,3.0,12.0,19.0
72,埔里,2026-03-11,50,50.0,,46.0,33.0,3.0,0.0,31.0
71,復興,2026-03-11,82,,,82.0,72.0,5.0,6.0,55.0
70,永和,2026-03-11,50,,,36.0,33.0,3.0,12.0,50.0
69,竹山,2026-03-11,74,74.0,,67.0,57.0,2.0,12.0,38.0
68,中壢,2026-03-11,57,,,42.0,42.0,5.0,6.0,57.0
67,三重,2026-03-11,65,,,39.0,43.0,9.0,12.0,65.0
66,冬山,2026-03-11,45,45.0,,36.0,35.0,1.0,0.0,19.0
65,宜蘭,2026-03-11,45,45.0,,27.0,25.0,2.0,6.0,24.0
64,陽明,2026-03-11,49,49.0,,21.0,25.0,1.0,12.0,2.0
63,花蓮,2026-03-11,45,45.0,,27.0,27.0,3.0,12.0,31.0
62,臺東,2026-03-11,45,45.0,,24.0,23.0,2.0,6.0,14.0
61,恆春,2026-03-11,47,47.0,,14.0,17.0,1.0,0.0,2.0
60,潮州,2026-03-11,93,93.0,,76.0,63.0,3.0,25.0,29.0
59,屏東,2026-03-11,77,77.0,,76.0,62.0,3.0,6.0,33.0
58,小港,2026-03-11,84,46.0,,84.0,69.0,5.0,12.0,55.0
57,前鎮,2026-03-11,76,,,76.0,67.0,5.0,12.0,55.0
56,前金,2026-03-11,84,74.0,,84.0,77.0,3.0,6.0,45.0
54,左營,2026-03-11,84,64.0,,84.0,73.0,5.0,6.0,40.0
53,楠梓,2026-03-11,82,54.0,,82.0,74.0,3.0,6.0,43.0
52,林園,2026-03-11,80,80.0,,80.0,71.0,3.0,31.0,53.0
51,大寮,2026-03-11,84,64.0,,84.0,71.0,3.0,6.0,48.0
50,鳳山,2026-03-11,87,,,87.0,70.0,6.0,12.0,54.0
49,仁武,2026-03-11,85,58.0,,85.0,72.0,3.0,12.0,53.0
48,橋頭,2026-03-11,87,58.0,,87.0,70.0,3.0,12.0,43.0
47,美濃,2026-03-11,80,80.0,,67.0,57.0,2.0,6.0,24.0
46,臺南,2026-03-11,65,64.0,,65.0,62.0,3.0,12.0,43.0
45,安南,2026-03-11,68,67.0,,68.0,65.0,3.0,12.0,33.0
44,善化,2026-03-11,69,61.0,,69.0,63.0,2.0,12.0,31.0
43,新營,2026-03-11,67,58.0,,66.0,67.0,2.0,19.0,33.0
42,嘉義,2026-03-11,71,49.0,,71.0,65.0,3.0,31.0,45.0
41,臺西,2026-03-11,52,,,42.0,52.0,2.0,6.0,21.0
40,朴子,2026-03-11,63,61.0,,54.0,63.0,2.0,12.0,36.0
39,新港,2026-03-11,68,61.0,,51.0,68.0,2.0,19.0,29.0
38,崙背,2026-03-11,65,58.0,,65.0,63.0,3.0,19.0,48.0
37,斗六,2026-03-11,77,77.0,,64.0,62.0,2.0,12.0,31.0
36,南投,2026-03-11,55,54.0,,55.0,47.0,3.0,0.0,51.0
35,二林,2026-03-11,72,58.0,,51.0,72.0,3.0,25.0,50.0
34,線西,2026-03-11,55,,,55.0,54.0,5.0,31.0,36.0
33,彰化,2026-03-11,48,48.0,,39.0,45.0,3.0,6.0,43.0
32,西屯,2026-03-11,51,50.0,,33.0,43.0,2.0,6.0,51.0
31,忠明,2026-03-11,51,51.0,,42.0,42.0,3.0,12.0,43.0
30,大里,2026-03-11,55,50.0,,41.0,42.0,3.0,6.0,55.0
29,沙鹿,2026-03-11,61,61.0,,46.0,45.0,2.0,12.0,33.0
28,豐原,2026-03-11,58,58.0,,33.0,28.0,2.0,12.0,36.0
27,三義,2026-03-11,58,58.0,,33.0,28.0,2.0,6.0,26.0
26,苗栗,2026-03-11,49,49.0,,44.0,38.0,2.0,25.0,36.0
25,頭份,2026-03-11,50,,,33.0,43.0,2.0,12.0,50.0
24,新竹,2026-03-11,48,48.0,,31.0,38.0,2.0,12.0,43.0
23,竹東,2026-03-11,48,48.0,,31.0,30.0,1.0,12.0,26.0
22,湖口,2026-03-11,49,49.0,,26.0,37.0,1.0,6.0,29.0
21,龍潭,2026-03-11,46,46.0,,33.0,38.0,2.0,12.0,36.0
20,平鎮,2026-03-11,48,43.0,,40.0,40.0,3.0,6.0,48.0
19,觀音,2026-03-11,51,51.0,,31.0,35.0,1.0,12.0,33.0
18,大園,2026-03-11,54,47.0,,34.0,40.0,1.0,12.0,54.0
17,桃園,2026-03-11,43,43.0,,26.0,35.0,2.0,6.0,38.0
16,大同,2026-03-11,63,,,35.0,28.0,7.0,6.0,63.0
15,松山,2026-03-11,57,44.0,,39.0,37.0,2.0,12.0,57.0
14,古亭,2026-03-11,45,45.0,,25.0,35.0,1.0,12.0,38.0
13,萬華,2026-03-11,55,43.0,,33.0,30.0,3.0,12.0,55.0
12,中山,2026-03-11,55,42.0,,37.0,37.0,3.0,6.0,55.0
11,士林,2026-03-11,46,46.0,,28.0,32.0,2.0,12.0,36.0
10,淡水,2026-03-11,46,46.0,,33.0,27.0,2.0,6.0,45.0
9,林口,2026-03-11,50,41.0,,27.0,35.0,2.0,12.0,50.0
8,菜寮,2026-03-11,51,47.0,,24.0,28.0,3.0,6.0,51.0
7,新莊,2026-03-11,48,48.0,,36.0,42.0,2.0,0.0,45.0
6,板橋,2026-03-11,48,45.0,,37.0,30.0,2.0,25.0,48.0
5,土城,2026-03-11,47,47.0,,19.0,32.0,2.0,6.0,38.0
4,新店,2026-03-11,52,47.0,,28.0,33.0,2.0,12.0,52.0
2,汐止,2026-03-11,59,47.0,,31.0,30.0,2.0,12.0,59.0
1,基隆,2026-03-11,50,50.0,,31.0,28.0,3.0,6.0,43.0
140,林森,2026-03-10,63,,,63.0,52.0,6.0,6.0,52.0
139,員林,2026-03-10,53,39.0,,53.0,35.0,2.0,6.0,36.0
88,臺灣大道,2026-03-10,58,,,49.0,32.0,6.0,6.0,58.0
85,大城,2026-03-10,61,44.0,,61.0,50.0,2.0,6.0,31.0
84,富貴角,2026-03-10,67,67.0,,60.0,65.0,1.0,0.0,2.0
83,麥寮,2026-03-10,56,,,56.0,47.0,3.0,12.0,40.0
80,關山,2026-03-10,40,40.0,,19.0,13.0,2.0,6.0,21.0
78,馬公,2026-03-10,64,58.0,,64.0,58.0,2.0,0.0,7.0
77,金門,2026-03-10,80,80.0,,72.0,53.0,2.0,12.0,19.0
75,馬祖,2026-03-10,96,80.0,,96.0,71.0,2.0,54.0,12.0
72,埔里,2026-03-10,50,17.0,,50.0,35.0,3.0,6.0,36.0
71,復興,2026-03-10,71,,,71.0,62.0,6.0,6.0,57.0
70,永和,2026-03-10,52,,,52.0,43.0,3.0,6.0,40.0
69,竹山,2026-03-10,53,32.0,,52.0,40.0,3.0,6.0,53.0
68,中壢,2026-03-10,60,,,56.0,50.0,6.0,6.0,60.0
67,三重,2026-03-10,67,,,56.0,54.0,10.0,6.0,67.0
66,冬山,2026-03-10,44,44.0,,42.0,27.0,2.0,0.0,31.0
65,宜蘭,2026-03-10,37,37.0,,23.0,13.0,2.0,6.0,24.0
64,陽明,2026-03-10,51,51.0,,21.0,22.0,2.0,6.0,2.0
63,花蓮,2026-03-10,42,42.0,,12.0,12.0,3.0,6.0,26.0
62,臺東,2026-03-10,42,42.0,,15.0,17.0,2.0,6.0,17.0
61,恆春,2026-03-10,49,49.0,,13.0,13.0,1.0,0.0,2.0
60,潮州,2026-03-10,78,31.0,,78.0,68.0,3.0,38.0,51.0
59,屏東,2026-03-10,74,24.0,,74.0,60.0,3.0,12.0,48.0
58,小港,2026-03-10,80,24.0,,80.0,64.0,5.0,12.0,60.0
57,前鎮,2026-03-10,67,,,67.0,60.0,5.0,12.0,56.0
56,前金,2026-03-10,70,26.0,,70.0,65.0,3.0,6.0,54.0
54,左營,2026-03-10,70,25.0,,70.0,59.0,5.0,6.0,52.0
53,楠梓,2026-03-10,73,26.0,,73.0,61.0,3.0,12.0,53.0
52,林園,2026-03-10,81,25.0,,81.0,71.0,5.0,31.0,58.0
51,大寮,2026-03-10,81,22.0,,81.0,65.0,3.0,19.0,59.0
50,鳳山,2026-03-10,80,,,80.0,63.0,6.0,12.0,60.0
49,仁武,2026-03-10,75,22.0,,75.0,60.0,5.0,12.0,54.0
48,橋頭,2026-03-10,75,27.0,,75.0,58.0,3.0,6.0,52.0
47,美濃,2026-03-10,59,27.0,,59.0,47.0,3.0,12.0,36.0
46,臺南,2026-03-10,53,32.0,,53.0,45.0,3.0,6.0,48.0
45,安南,2026-03-10,59,33.0,,59.0,47.0,3.0,12.0,45.0
44,善化,2026-03-10,63,33.0,,63.0,50.0,2.0,12.0,45.0
43,新營,2026-03-10,57,33.0,,57.0,45.0,2.0,12.0,38.0
42,嘉義,2026-03-10,56,32.0,,56.0,50.0,3.0,12.0,54.0
41,臺西,2026-03-10,48,,,48.0,47.0,2.0,12.0,36.0
40,朴子,2026-03-10,48,37.0,,48.0,47.0,3.0,12.0,38.0
39,新港,2026-03-10,46,37.0,,46.0,42.0,2.0,6.0,29.0
38,崙背,2026-03-10,57,39.0,,57.0,38.0,2.0,6.0,24.0
37,斗六,2026-03-10,59,37.0,,59.0,45.0,3.0,6.0,36.0
36,南投,2026-03-10,53,35.0,,53.0,35.0,3.0,6.0,52.0
35,二林,2026-03-10,53,41.0,,44.0,53.0,2.0,6.0,21.0
34,線西,2026-03-10,49,,,49.0,32.0,2.0,6.0,31.0
33,彰化,2026-03-10,40,39.0,,40.0,32.0,3.0,6.0,40.0
32,西屯,2026-03-10,39,39.0,,29.0,30.0,2.0,6.0,33.0
31,忠明,2026-03-10,45,39.0,,45.0,32.0,3.0,6.0,45.0
30,大里,2026-03-10,45,35.0,,31.0,27.0,3.0,6.0,45.0
29,沙鹿,2026-03-10,44,42.0,,44.0,32.0,2.0,6.0,21.0
28,豐原,2026-03-10,41,41.0,,26.0,18.0,2.0,6.0,21.0
27,三義,2026-03-10,44,44.0,,37.0,20.0,2.0,6.0,12.0
26,苗栗,2026-03-10,45,43.0,,45.0,27.0,2.0,6.0,29.0
25,頭份,2026-03-10,50,,,50.0,42.0,3.0,6.0,50.0
24,新竹,2026-03-10,52,40.0,,52.0,40.0,3.0,6.0,48.0
23,竹東,2026-03-10,46,46.0,,38.0,28.0,2.0,12.0,19.0
22,湖口,2026-03-10,45,44.0,,45.0,40.0,2.0,6.0,40.0
21,龍潭,2026-03-10,48,44.0,,48.0,38.0,2.0,6.0,29.0
20,平鎮,2026-03-10,58,37.0,,58.0,45.0,3.0,6.0,51.0
19,觀音,2026-03-10,52,44.0,,52.0,43.0,2.0,6.0,29.0
18,大園,2026-03-10,54,43.0,,52.0,45.0,2.0,6.0,54.0
17,桃園,2026-03-10,50,36.0,,50.0,42.0,3.0,6.0,50.0
