county,aqi
彰化縣,91.28333333333333
雲林縣,85.8125
臺中市,79.20833333333333
嘉義縣,78.5
南投縣,73.95833333333333
苗栗縣,65.5
嘉義市,64.08333333333333
金門縣,61.166666666666664
臺南市,60.766666666666666
高雄市,57.388888888888886
新竹縣,56.791666666666664
桃園市,53.97222222222222
新竹市,52.666666666666664
澎湖縣,52.333333333333336
新北市,49.52554744525548
屏東縣,49.166666666666664
宜蘭縣,47.75
花蓮縣,47.25
臺北市,46.63095238095238
臺東縣,43.916666666666664
基隆市,42.36363636363637
連江縣,41.833333333333336
