county,mean_aqi,std_aqi,high_pollution_ratio,cv_aqi,risk_score,risk_rank
連江縣,70.10709318497914,26.8316933598712,0.11821974965229486,0.38272437410969495,100.0,1
屏東縣,64.38414464534075,23.6111521159331,0.0717663421418637,0.3667230844798021,82.1630597394177,2
雲林縣,73.19019471488178,23.478515348151305,0.14673157162726008,0.32078771534375233,79.45667619062168,3
南投縣,66.00695410292073,22.85084993885303,0.05876216968011127,0.3461885228520476,74.82140217689228,4
彰化縣,70.14186369958276,22.661180857116815,0.10375521557719054,0.3230764006239489,73.5344308108311,5
嘉義縣,72.19221698113208,22.05219521998087,0.10790094339622641,0.3054649952881259,68.96842313283793,6
新竹市,52.250347705146034,19.55959885223998,0.03894297635605007,0.3743438983911985,68.08369469462417,7
嘉義市,80.89199491740787,21.433363791524215,0.17916137229987295,0.264962729790606,67.01602813952019,8
桃園市,54.69726471951785,19.914788494247695,0.03894297635605007,0.36409112222281603,66.94472445719029,9
新竹縣,51.19123783031989,19.190152194920287,0.027816411682892908,0.3748718141672717,66.29753427057578,10
臺中市,61.03639313861845,20.8376035975955,0.03477051460361613,0.3413963788828685,65.26685156192336,11
金門縣,73.27260083449235,21.397243276364136,0.10292072322670376,0.2920224344799236,64.35682541122848,12
苗栗縣,52.66805748725081,18.629931942301898,0.025034770514603615,0.35372354385410143,59.56661657393918,13
臺南市,76.34687065368567,20.248679699566594,0.12100139082058414,0.26521951097925034,57.90139962054239,14
高雄市,79.66585535465924,19.939475072401446,0.13676402410755678,0.25028884687968506,56.58741499576361,15
澎湖縣,59.88456189151599,19.24839170060404,0.02920723226703755,0.3214249397945585,55.67159308355875,16
新北市,51.1225955967555,16.31345769069946,0.006952491309385863,0.3191046444389611,43.358514106703076,17
基隆市,46.258692628650905,14.244379391514475,0.0,0.30792870662955224,33.15147175263789,18
臺北市,49.17020854021847,14.051448765583077,0.0,0.2857715918387814,28.034220860124826,19
宜蘭縣,40.39916550764951,11.10583234958916,0.0,0.27490251865440857,13.729783660815892,20
花蓮縣,36.61613351877608,9.346029265090634,0.0,0.25524347785923823,1.8276438035510083,21
臺東縣,37.099443671766345,9.238160982590022,0.0,0.24901076857981314,0.0,22
