date,avg_aqi,rolling_7d_avg
2026-02-22,76.46470588235294,76.46470588235294
2026-02-23,78.07205882352942,77.26838235294119
2026-02-24,87.49950980392157,80.67875816993465
2026-02-25,63.323008849557525,76.33982083984037
2026-02-26,55.71924603174603,72.2157058782215
2026-02-27,54.112983151635284,69.19858542379046
2026-02-28,49.37450396825397,66.36657378728525
2026-03-01,46.382936507936506,62.06917816236861
2026-03-02,47.788690476190474,57.742982684177335
2026-03-03,45.28663366336634,51.71257180695516
2026-03-04,47.37450980392157,49.43421480043575
2026-03-05,57.11666666666667,49.633846319710116
2026-03-06,53.82107843137255,49.59214564538687
2026-03-07,65.86078431372549,51.9473285518828
2026-03-08,60.22156862745098,53.92427599752772
2026-03-09,55.841943734015345,55.07474074864556
2026-03-10,52.9421568627451,56.16838691998538
2026-03-11,57.57254901960784,57.625249665083416
2026-03-12,60.550980392156866,58.11586591158202
2026-03-13,75.95343137254902,61.277630617464375
2026-03-14,70.96307237813885,62.00652891238057
2026-03-15,64.71527777777777,62.648487362427254
2026-03-16,60.22271825396825,63.2743122938491
2026-03-17,67.81597222222223,65.3991430594887
2026-03-18,68.85565476190476,67.01101530838825
2026-03-19,61.52876984126984,67.1506995154044
2026-03-20,70.5109126984127,66.37319684767063
2026-03-21,65.94047619047619,65.65568310657596
2026-03-22,61.58829365079365,65.20897108843538
2026-03-23,78.65426587301587,67.8420493197279
2026-03-24,72.0372972972973,68.44509575902433
