datacreationdate,sitename,county,aqi,baseline,z_score,spike_strength
2026-03-18 04:00:00,大城,彰化縣,132,71.45833333333333,,60.54166666666667
2026-03-17 21:00:00,新北（樹林）,新北市,99,65.875,,33.125
2026-03-17 12:00:00,林口,新北市,73,46.25,,26.75
2026-03-17 11:00:00,林口,新北市,71,44.75,,26.25
2026-03-17 07:00:00,大園,桃園市,85,50.875,,34.125
2026-03-17 05:00:00,南投,南投縣,66,42.25,,23.75
2026-03-17 04:00:00,南投,南投縣,72,39.208333333333336,,32.791666666666664
2026-03-17 03:00:00,南投,南投縣,74,36.083333333333336,,37.916666666666664
2026-03-17 03:00:00,富貴角,新北市,91,60.291666666666664,,30.708333333333336
2026-03-16 20:00:00,菜寮,新北市,68,37.75,,30.25
2026-03-16 15:00:00,淡水,新北市,81,46.458333333333336,,34.541666666666664
2026-03-16 14:00:00,淡水,新北市,79,45.25,,33.75
2026-03-16 13:00:00,淡水,新北市,76,44.208333333333336,,31.791666666666664
2026-03-16 12:00:00,淡水,新北市,73,43.291666666666664,,29.708333333333336
2026-03-15 07:00:00,富貴角,新北市,113,72.83333333333333,,40.16666666666667
2026-03-15 06:00:00,富貴角,新北市,109,71.5,,37.5
2026-03-14 18:00:00,潮州,屏東縣,122,79.79166666666667,,42.20833333333333
2026-03-14 17:00:00,三義,苗栗縣,90,59.833333333333336,,30.166666666666664
2026-03-14 16:00:00,三義,苗栗縣,90,59.041666666666664,,30.958333333333336
2026-03-14 16:00:00,臺灣大道,臺中市,124,79.25,,44.75
2026-03-14 15:00:00,臺灣大道,臺中市,125,77.375,,47.625
2026-03-14 14:00:00,臺灣大道,臺中市,123,75.54166666666667,,47.45833333333333
2026-03-14 12:00:00,士林,臺北市,89,58.416666666666664,,30.583333333333336
2026-03-13 15:00:00,臺東,臺東縣,84,55.25,,28.75
2026-03-13 06:00:00,富貴角,新北市,108,71.75,,36.25
2026-03-13 05:00:00,富貴角,新北市,107,69.54166666666667,,37.45833333333333
2026-03-13 05:00:00,大城,彰化縣,97,64.41666666666667,,32.58333333333333
2026-03-13 04:00:00,富貴角,新北市,102,67.54166666666667,,34.45833333333333
2026-03-12 21:00:00,潮州,屏東縣,112,70.04166666666667,,41.95833333333333
2026-03-12 20:00:00,潮州,屏東縣,132,68.41666666666667,,63.58333333333333
2026-03-12 20:00:00,斗六,雲林縣,135,71.58333333333333,,63.41666666666667
2026-03-12 20:00:00,竹山,南投縣,104,67.25,,36.75
2026-03-12 19:00:00,潮州,屏東縣,122,67.20833333333333,,54.79166666666667
2026-03-12 19:00:00,竹山,南投縣,106,65.91666666666667,,40.08333333333333
2026-03-12 18:00:00,潮州,屏東縣,108,66.45833333333333,,41.54166666666667
2026-03-12 18:00:00,竹山,南投縣,109,64.04166666666667,,44.95833333333333
2026-03-12 18:00:00,二林,彰化縣,112,72.20833333333333,,39.79166666666667
2026-03-12 18:00:00,崙背,雲林縣,130,74.33333333333333,,55.66666666666667
2026-03-12 17:00:00,麥寮,雲林縣,127,70.375,,56.625
2026-03-12 17:00:00,二林,彰化縣,110,71.25,,38.75
2026-03-12 17:00:00,竹山,南投縣,102,62.375,,39.625
2026-03-12 16:00:00,麥寮,雲林縣,126,68.83333333333333,,57.16666666666667
2026-03-12 16:00:00,二林,彰化縣,108,70.25,,37.75
2026-03-12 15:00:00,麥寮,雲林縣,118,67.375,,50.625
2026-03-12 14:00:00,麥寮,雲林縣,109,65.875,,43.125
2026-03-12 13:00:00,麥寮,雲林縣,97,64.5,,32.5
2026-03-11 23:00:00,南投（鹿谷）,南投縣,77,40.625,,36.375
2026-03-11 22:00:00,南投（鹿谷）,南投縣,84,38.166666666666664,,45.833333333333336
2026-03-11 21:00:00,南投（鹿谷）,南投縣,84,35.875,,48.125
2026-03-11 20:00:00,南投（鹿谷）,南投縣,80,33.833333333333336,,46.166666666666664
2026-03-11 18:00:00,屏東（枋山）,屏東縣,93,53.208333333333336,,39.791666666666664
