date,avg_aqi
2026-02-28,51.033068783068785
2026-03-01,46.382936507936506
2026-03-02,47.788690476190474
2026-03-03,45.28663366336634
2026-03-04,47.37450980392157
2026-03-05,57.11666666666667
2026-03-06,53.82107843137255
2026-03-07,65.86078431372549
2026-03-08,60.22156862745098
2026-03-09,55.841943734015345
2026-03-10,52.9421568627451
2026-03-11,57.57254901960784
2026-03-12,60.550980392156866
2026-03-13,75.95343137254902
2026-03-14,70.96307237813885
2026-03-15,64.71527777777777
2026-03-16,60.22271825396825
2026-03-17,67.81597222222223
2026-03-18,68.85565476190476
2026-03-19,61.52876984126984
2026-03-20,70.5109126984127
2026-03-21,65.94047619047619
2026-03-22,61.58829365079365
2026-03-23,78.65426587301587
2026-03-24,72.57787698412699
2026-03-25,77.08630952380952
2026-03-26,65.75744047619048
2026-03-27,58.90165631469979
2026-03-30,95.87873612297182
