sitename,county,aqi,pollutant,status,so2,so2_avg,co,co_8hr,o3,o3_8hr,pm10,pm10_avg,pm25,pm25_avg,no2,nox,no,windspeed,winddirec,datacreationdate,longitude,latitude,siteid,unit
屏東（枋山）,屏東縣,104,臭氧八小時,對敏感族群不健康,0.7,0.0,0.31,0.2,95.0,72.0,52.0,44.0,30.0,24.4,3.0,3.2,0.0,0.6,258.0,2026-03-21 17:00:00,120.651472,22.260899,313,
新北（樹林）,新北市,45,,良好,0.2,0.0,0.29,0.2,49.0,49.0,9.0,9.0,9.0,8.5,10.0,12.1,1.9,1.4,104.0,2026-03-21 17:00:00,121.38352778,24.94902778,311,
屏東（琉球）,屏東縣,82,細懸浮微粒,普通,0.0,1.0,0.17,0.3,57.0,64.0,44.0,54.0,15.0,23.8,2.0,3.6,0.9,3.9,322.0,2026-03-21 17:00:00,120.37722,22.35222,204,
南投（鹿谷）,南投縣,96,細懸浮微粒,普通,1.6,1.0,0.32,0.2,66.0,57.0,59.0,48.0,35.0,28.8,6.0,7.5,0.9,0.7,287.0,2026-03-21 17:00:00,120.7944772,23.71867609,203,
林森,臺南市,73,懸浮微粒,普通,1.0,1.0,0.35,0.4,51.0,52.0,44.0,51.0,16.0,20.3,7.0,10.0,2.2,2.2,43.0,2026-03-21 17:00:00,120.22216042,22.98522502,140,
員林,彰化縣,92,細懸浮微粒,普通,1.5,1.0,0.29,0.2,56.0,58.0,55.0,45.0,29.0,27.4,8.0,9.7,1.6,4.1,284.0,2026-03-21 17:00:00,120.5631893,23.9615945,139,
臺灣大道,臺中市,69,細懸浮微粒,普通,0.5,0.0,0.42,0.4,43.0,46.0,52.0,34.0,19.0,19.0,16.0,28.6,11.8,1.5,345.0,2026-03-21 17:00:00,120.6567111,24.1589,88,
大城,彰化縣,61,臭氧八小時,普通,0.8,1.0,0.21,0.1,61.0,58.0,30.0,30.0,13.0,15.1,1.0,3.0,1.6,6.2,158.0,2026-03-21 17:00:00,120.26964167,23.85493056,85,
富貴角,新北市,61,臭氧八小時,普通,0.4,0.0,0.19,0.1,60.0,58.0,12.0,22.0,5.0,8.7,1.0,1.1,0.0,6.3,43.0,2026-03-21 17:00:00,121.53656894,25.29681695,84,
麥寮,雲林縣,57,懸浮微粒,普通,0.7,0.0,0.2,0.1,57.0,54.0,35.0,36.0,16.0,13.5,3.0,5.0,1.9,5.2,351.0,2026-03-21 17:00:00,120.251825,23.753506,83,
關山,臺東縣,38,,良好,0.2,0.0,0.21,0.2,45.0,41.0,24.0,16.0,10.0,8.7,2.0,4.1,1.2,2.5,49.0,2026-03-21 17:00:00,121.161933,23.045083,80,
馬公,澎湖縣,53,細懸浮微粒,普通,0.4,0.0,0.2,0.1,55.0,54.0,22.0,22.0,13.0,13.1,2.0,3.2,0.9,5.2,23.0,2026-03-21 17:00:00,119.566158,23.569031,78,
金門,金門縣,68,細懸浮微粒,普通,1.8,1.0,0.33,0.3,62.0,60.0,26.0,29.0,19.0,18.7,9.0,10.4,0.7,1.9,91.0,2026-03-21 17:00:00,118.312256,24.432133,77,
馬祖,連江縣,47,,良好,0.7,0.0,0.18,0.1,56.0,51.0,21.0,21.0,9.0,11.2,4.0,5.7,0.8,1.9,342.0,2026-03-21 17:00:00,119.952724,26.153736,75,
埔里,南投縣,76,細懸浮微粒,普通,1.0,1.0,0.29,0.2,59.0,49.0,35.0,31.0,32.0,21.5,4.0,5.5,0.6,1.9,259.0,2026-03-21 17:00:00,120.967903,23.968842,72,
復興,高雄市,83,細懸浮微粒,普通,0.6,0.0,0.27,0.3,53.0,55.0,46.0,58.0,16.0,24.3,7.0,9.0,1.5,1.2,278.0,2026-03-21 17:00:00,120.312017,22.608711,71,
永和,新北市,41,,良好,0.8,0.0,0.3,0.3,46.0,44.0,13.0,12.0,8.0,7.2,7.0,9.5,1.9,1.3,96.0,2026-03-21 17:00:00,121.516306,25.017,70,
竹山,南投縣,95,細懸浮微粒,普通,2.0,1.0,0.26,0.2,72.0,64.0,49.0,52.0,25.0,28.5,6.0,7.0,1.0,2.2,296.0,2026-03-21 17:00:00,120.677306,23.756389,69,
中壢,桃園市,55,細懸浮微粒,普通,0.9,0.0,0.48,0.4,27.0,27.0,24.0,30.0,14.0,13.9,26.0,38.7,12.6,0.8,11.0,2026-03-21 17:00:00,121.221667,24.953278,68,
三重,新北市,60,二氧化氮,普通,1.6,1.0,0.88,0.7,20.0,25.0,14.0,15.0,9.0,7.6,36.0,68.7,32.2,,,2026-03-21 17:00:00,121.493806,25.072611,67,
冬山,宜蘭縣,44,,良好,1.1,1.0,0.18,0.2,48.0,48.0,9.0,12.0,4.0,7.9,3.0,4.5,1.0,1.9,166.0,2026-03-21 17:00:00,121.792928,24.632203,66,
宜蘭,宜蘭縣,41,,良好,0.8,0.0,0.21,0.2,44.0,44.0,15.0,10.0,4.0,5.0,5.0,5.9,0.3,1.7,130.0,2026-03-21 17:00:00,121.746394,24.747917,65,
陽明,臺北市,46,,良好,1.1,1.0,0.22,0.1,50.0,50.0,5.0,4.0,2.0,1.0,1.0,1.6,0.5,,,2026-03-21 17:00:00,121.529583,25.182722,64,
花蓮,花蓮縣,48,,良好,1.2,1.0,0.24,0.2,51.0,52.0,13.0,16.0,9.0,9.3,3.0,4.3,0.7,2.4,71.0,2026-03-21 17:00:00,121.599769,23.971306,63,
臺東,臺東縣,48,,良好,0.4,0.0,0.22,0.2,54.0,52.0,31.0,24.0,6.0,9.9,3.0,4.4,1.2,2.9,34.0,2026-03-21 17:00:00,121.15045,22.755358,62,
恆春,屏東縣,42,,良好,1.0,0.0,0.2,0.1,38.0,45.0,15.0,15.0,9.0,7.6,1.0,2.4,0.9,1.1,16.0,2026-03-21 17:00:00,120.788928,21.958069,61,
潮州,屏東縣,84,細懸浮微粒,普通,1.0,0.0,0.28,0.2,75.0,63.0,66.0,50.0,28.0,24.5,7.0,9.4,1.7,3.8,167.0,2026-03-21 17:00:00,120.561175,22.523108,60,
屏東,屏東縣,96,細懸浮微粒,普通,1.2,1.0,0.27,0.3,60.0,66.0,43.0,56.0,16.0,28.8,6.0,7.4,0.7,1.4,83.0,2026-03-21 17:00:00,120.488033,22.673081,59,
小港,高雄市,86,細懸浮微粒,普通,0.7,1.0,0.25,0.3,54.0,53.0,37.0,54.0,17.0,25.2,5.0,6.3,0.5,3.2,309.0,2026-03-21 17:00:00,120.337736,22.565833,58,
前鎮,高雄市,74,細懸浮微粒,普通,1.2,1.0,0.25,0.3,54.0,57.0,42.0,50.0,14.0,20.8,7.0,8.6,1.3,2.5,4.0,2026-03-21 17:00:00,120.30833356,22.6044507,57,
前金,高雄市,86,懸浮微粒,普通,0.6,1.0,0.23,0.3,55.0,56.0,46.0,62.0,12.0,20.5,8.0,9.0,0.7,5.1,354.0,2026-03-21 17:00:00,120.28676111,22.63390278,56,
左營,高雄市,90,懸浮微粒,普通,1.2,1.0,0.19,0.3,52.0,55.0,49.0,66.0,15.0,24.0,8.0,10.0,1.1,2.8,303.0,2026-03-21 17:00:00,120.292917,22.674861,54,
楠梓,高雄市,81,懸浮微粒,普通,1.3,1.0,0.21,0.2,57.0,56.0,51.0,58.0,16.0,21.5,5.0,6.8,0.8,2.8,15.0,2026-03-21 17:00:00,120.328289,22.733667,53,
林園,高雄市,87,懸浮微粒,普通,2.0,2.0,0.24,0.3,43.0,56.0,61.0,63.0,19.0,25.2,10.0,11.9,1.1,2.8,275.0,2026-03-21 17:00:00,120.41175,22.4795,52,
大寮,高雄市,96,細懸浮微粒,普通,1.7,2.0,0.24,0.4,57.0,63.0,57.0,64.0,22.0,29.1,6.0,7.7,0.7,2.2,47.0,2026-03-21 17:00:00,120.425311,22.56413611,51,
鳳山,高雄市,86,懸浮微粒,普通,1.4,1.0,0.44,0.4,50.0,56.0,52.0,62.0,15.0,22.1,11.0,13.1,1.3,1.4,274.0,2026-03-21 17:00:00,120.357422,22.628126,50,
仁武,高雄市,91,細懸浮微粒,普通,1.8,1.0,0.23,0.2,55.0,56.0,49.0,60.0,19.0,27.0,20.0,21.9,1.1,2.6,333.0,2026-03-21 17:00:00,120.332631,22.689056,49,
橋頭,高雄市,81,懸浮微粒,普通,1.2,1.0,0.22,0.2,54.0,53.0,47.0,58.0,17.0,23.0,6.0,7.3,1.0,3.1,335.0,2026-03-21 17:00:00,120.305689,22.757506,48,
美濃,高雄市,67,細懸浮微粒,普通,1.3,1.0,0.25,0.2,55.0,54.0,35.0,36.0,11.0,18.5,2.0,4.4,1.6,2.2,295.0,2026-03-21 17:00:00,120.530542,22.883583,47,
臺南,臺南市,72,懸浮微粒,普通,0.8,0.0,0.19,0.2,54.0,54.0,45.0,50.0,13.0,17.5,5.0,6.3,0.4,3.4,1.0,2026-03-21 17:00:00,120.21947897,22.98928311,46,
安南,臺南市,74,懸浮微粒,普通,1.2,0.0,0.22,0.2,56.0,55.0,48.0,52.0,16.0,18.9,3.0,4.9,1.5,3.9,319.0,2026-03-21 17:00:00,120.2175,23.048197,45,
善化,臺南市,67,細懸浮微粒,普通,1.0,0.0,0.18,0.2,52.0,52.0,37.0,45.0,18.0,18.5,3.0,4.4,0.8,4.6,1.0,2026-03-21 17:00:00,120.29740529,23.11337642,44,
新營,臺南市,71,懸浮微粒,普通,0.5,0.0,0.2,0.2,51.0,50.0,54.0,49.0,17.0,17.7,5.0,6.1,1.1,3.6,0.0,2026-03-21 17:00:00,120.31725,23.305633,43,
嘉義,嘉義市,72,細懸浮微粒,普通,1.7,2.0,0.24,0.2,53.0,50.0,46.0,48.0,16.0,20.2,3.0,4.7,0.9,3.1,0.0,2026-03-21 17:00:00,120.44125148,23.46477865,42,
臺西,雲林縣,51,懸浮微粒,普通,0.9,1.0,0.2,0.1,57.0,54.0,30.0,31.0,10.0,12.0,2.0,3.9,1.2,5.7,13.0,2026-03-21 17:00:00,120.19933333,23.702175,41,
朴子,嘉義縣,63,懸浮微粒,普通,1.2,1.0,0.18,0.1,55.0,53.0,49.0,42.0,14.0,14.1,4.0,4.8,0.7,3.0,348.0,2026-03-21 17:00:00,120.2478,23.46538,40,
新港,嘉義縣,78,懸浮微粒,普通,0.4,0.0,0.21,0.2,56.0,53.0,59.0,55.0,20.0,17.1,3.0,3.9,0.7,3.9,282.0,2026-03-21 17:00:00,120.345531,23.554839,39,
崙背,雲林縣,60,細懸浮微粒,普通,1.5,1.0,0.21,0.2,56.0,53.0,44.0,38.0,16.0,15.8,3.0,3.8,0.0,2.3,296.0,2026-03-21 17:00:00,120.348742,23.757547,38,
斗六,雲林縣,79,細懸浮微粒,普通,0.8,1.0,0.3,0.3,66.0,59.0,50.0,45.0,22.0,22.9,7.0,7.9,0.6,3.1,317.0,2026-03-21 17:00:00,120.544994,23.711853,37,
南投,南投縣,104,細懸浮微粒,對敏感族群不健康,0.9,0.0,0.29,0.3,64.0,57.0,48.0,52.0,31.0,31.8,9.0,10.5,0.6,1.8,358.0,2026-03-21 17:00:00,120.685306,23.913,36,
二林,彰化縣,67,懸浮微粒,普通,2.4,1.0,0.32,0.2,44.0,55.0,39.0,45.0,23.0,18.1,7.0,8.3,1.1,4.8,13.0,2026-03-21 17:00:00,120.409653,23.925175,35,
線西,彰化縣,67,細懸浮微粒,普通,3.0,2.0,0.46,0.4,50.0,51.0,33.0,35.0,18.0,18.4,9.0,10.8,1.3,6.3,33.0,2026-03-21 17:00:00,120.469061,24.131672,34,
彰化,彰化縣,67,細懸浮微粒,普通,0.2,0.0,0.25,0.2,48.0,52.0,43.0,39.0,18.0,18.5,10.0,13.1,2.3,3.4,18.0,2026-03-21 17:00:00,120.541519,24.066,33,
西屯,臺中市,61,懸浮微粒,普通,1.3,1.0,0.21,0.2,46.0,47.0,44.0,40.0,12.0,14.2,9.0,9.5,0.4,3.2,11.0,2026-03-21 17:00:00,120.616917,24.162197,32,
忠明,臺中市,66,細懸浮微粒,普通,1.3,1.0,0.26,0.2,47.0,49.0,42.0,34.0,23.0,17.8,8.0,9.8,1.7,3.0,330.0,2026-03-21 17:00:00,120.641092,24.151958,31,
大里,臺中市,59,細懸浮微粒,普通,0.8,0.0,0.27,0.2,47.0,48.0,45.0,34.0,18.0,15.6,6.0,6.8,0.6,2.6,323.0,2026-03-21 17:00:00,120.67844444,24.09961111,30,
沙鹿,臺中市,75,細懸浮微粒,普通,1.5,1.0,0.23,0.2,49.0,51.0,39.0,37.0,22.0,21.4,6.0,7.1,0.8,4.8,40.0,2026-03-21 17:00:00,120.568794,24.225628,29,
豐原,臺中市,56,細懸浮微粒,普通,1.5,1.0,0.25,0.2,48.0,45.0,39.0,25.0,17.0,14.2,6.0,8.2,1.3,2.5,340.0,2026-03-21 17:00:00,120.74252414,24.25699731,28,
三義,苗栗縣,52,細懸浮微粒,普通,0.6,0.0,0.23,0.2,42.0,41.0,35.0,26.0,16.0,13.0,7.0,8.5,1.2,3.8,14.0,2026-03-21 17:00:00,120.75956754,24.38248443,27,
苗栗,苗栗縣,53,細懸浮微粒,普通,1.2,1.0,0.24,0.2,46.0,43.0,22.0,26.0,12.0,13.2,7.0,8.6,1.2,3.6,28.0,2026-03-21 17:00:00,120.82011468,24.56499183,26,
頭份,苗栗縣,52,細懸浮微粒,普通,1.5,0.0,0.28,0.2,46.0,43.0,23.0,32.0,8.0,12.7,8.0,9.8,1.0,2.6,34.0,2026-03-21 17:00:00,120.89869286,24.69690679,25,
新竹,新竹市,47,,良好,1.2,1.0,0.31,0.2,48.0,46.0,18.0,27.0,15.0,11.6,8.0,9.9,1.0,2.5,46.0,2026-03-21 17:00:00,120.97236752,24.8056356,24,
竹東,新竹縣,55,細懸浮微粒,普通,0.9,0.0,0.27,0.2,40.0,41.0,20.0,22.0,17.0,14.1,9.0,10.5,0.7,1.6,346.0,2026-03-21 17:00:00,121.08895493,24.74091408,23,
湖口,新竹縣,44,,良好,0.0,0.0,0.27,0.2,50.0,48.0,15.0,23.0,6.0,8.7,5.0,5.3,0.2,3.6,44.0,2026-03-21 17:00:00,121.03886894,24.90009696,22,
龍潭,桃園市,52,細懸浮微粒,普通,0.6,0.0,0.3,0.2,40.0,41.0,26.0,25.0,15.0,12.9,11.0,13.2,1.4,2.5,33.0,2026-03-21 17:00:00,121.21645772,24.86400048,21,
平鎮,桃園市,44,,良好,0.8,0.0,0.31,0.2,45.0,41.0,21.0,22.0,7.0,10.8,9.0,10.7,1.4,2.6,44.0,2026-03-21 17:00:00,121.203986,24.952786,20,
觀音,桃園市,47,,良好,0.8,0.0,0.22,0.1,54.0,51.0,13.0,17.0,6.0,8.3,3.0,3.8,0.6,5.6,54.0,2026-03-21 17:00:00,121.08283092,25.03556747,19,
大園,桃園市,44,,良好,0.9,0.0,0.25,0.2,51.0,48.0,13.0,20.0,11.0,8.0,6.0,8.1,1.2,6.1,33.0,2026-03-21 17:00:00,121.20251473,25.06100357,18,
桃園,桃園市,38,,良好,0.3,0.0,0.3,0.2,43.0,41.0,17.0,17.0,7.0,9.2,10.0,11.0,0.6,2.7,21.0,2026-03-21 17:00:00,121.30500531,24.9947107,17,
大同,臺北市,58,二氧化氮,普通,1.0,0.0,1.03,0.7,23.0,25.0,9.0,9.0,6.0,5.8,33.0,54.3,20.9,,,2026-03-21 17:00:00,121.51342074,25.06331455,16,
松山,臺北市,38,,良好,1.5,1.0,0.29,0.2,35.0,36.0,19.0,16.0,9.0,8.5,16.0,19.0,2.3,1.5,59.0,2026-03-21 17:00:00,121.578611,25.05,15,
古亭,臺北市,42,,良好,1.2,1.0,0.24,0.2,45.0,45.0,12.0,11.0,5.0,4.2,8.0,8.9,0.7,0.9,80.0,2026-03-21 17:00:00,121.529556,25.020608,14,
萬華,臺北市,37,,良好,1.1,1.0,0.32,0.2,40.0,40.0,14.0,12.0,6.0,6.4,13.0,14.9,1.6,1.2,121.0,2026-03-21 17:00:00,121.507972,25.046503,13,
中山,臺北市,38,,良好,0.1,0.0,0.33,0.3,43.0,41.0,16.0,13.0,7.0,7.2,12.0,13.5,1.3,2.3,127.0,2026-03-21 17:00:00,121.526528,25.062361,12,
士林,臺北市,15,,良好,0.5,0.0,0.25,0.2,46.0,,13.0,9.0,4.0,1.9,6.0,7.1,0.3,1.5,287.0,2026-03-21 17:00:00,121.51666356,25.10334003,11,
淡水,新北市,43,,良好,0.5,0.0,0.26,0.2,49.0,46.0,5.0,7.0,8.0,7.0,3.0,4.3,0.9,,,2026-03-21 17:00:00,121.449239,25.1645,10,
林口,新北市,40,,良好,0.9,0.0,0.25,0.2,47.0,43.0,8.0,14.0,7.0,8.4,4.0,5.3,0.4,2.7,38.0,2026-03-21 17:00:00,121.36548982,25.07798949,9,
菜寮,新北市,39,,良好,0.3,0.0,0.32,0.2,38.0,42.0,13.0,10.0,9.0,7.7,15.0,16.9,1.2,1.1,262.0,2026-03-21 17:00:00,121.481028,25.06895,8,
新莊,新北市,42,,良好,0.3,0.0,0.25,0.2,44.0,45.0,16.0,19.0,9.0,7.2,9.0,9.7,0.6,2.8,12.0,2026-03-21 17:00:00,121.4325,25.037972,7,
板橋,新北市,40,,良好,0.7,0.0,0.34,0.2,42.0,43.0,11.0,9.0,8.0,7.2,12.0,13.9,1.1,1.8,100.0,2026-03-21 17:00:00,121.458667,25.012972,6,
土城,新北市,44,,良好,0.7,0.0,0.27,0.2,48.0,47.0,11.0,11.0,5.0,4.5,7.0,9.3,1.3,1.5,118.0,2026-03-21 17:00:00,121.451861,24.982528,5,
新店,新北市,42,,良好,1.2,1.0,0.27,0.2,46.0,45.0,8.0,10.0,5.0,6.2,9.0,10.2,0.5,0.9,47.0,2026-03-21 17:00:00,121.537778,24.977222,4,
汐止,新北市,38,,良好,0.7,0.0,0.24,0.2,42.0,41.0,8.0,12.0,10.0,8.2,10.0,10.9,0.3,1.2,47.0,2026-03-21 17:00:00,121.64081,25.06624,2,
基隆,基隆市,41,,良好,0.6,0.0,0.25,0.2,47.0,44.0,8.0,16.0,6.0,9.2,8.0,9.2,1.0,0.4,102.0,2026-03-21 17:00:00,121.760056,25.129167,1,
屏東（枋山）,屏東縣,84,臭氧八小時,普通,0.8,0.0,0.33,0.2,87.0,65.0,49.0,41.0,25.0,23.2,2.0,2.4,0.0,1.4,244.0,2026-03-21 16:00:00,120.651472,22.260899,313,
新北（樹林）,新北市,44,,良好,0.2,0.0,0.27,0.2,49.0,48.0,6.0,9.0,7.0,8.3,9.0,11.0,1.7,1.1,112.0,2026-03-21 16:00:00,121.38352778,24.94902778,311,
屏東（琉球）,屏東縣,91,細懸浮微粒,普通,0.3,1.0,0.19,0.3,59.0,61.0,51.0,58.0,19.0,27.2,2.0,3.5,0.8,4.4,321.0,2026-03-21 16:00:00,120.37722,22.35222,204,
南投（鹿谷）,南投縣,92,細懸浮微粒,普通,1.8,1.0,0.31,0.2,66.0,53.0,59.0,46.0,33.0,27.5,6.0,8.0,1.0,1.0,304.0,2026-03-21 16:00:00,120.7944772,23.71867609,203,
林森,臺南市,77,細懸浮微粒,普通,0.8,1.0,0.32,0.4,56.0,49.0,47.0,53.0,14.0,22.0,6.0,8.5,2.3,2.4,44.0,2026-03-21 16:00:00,120.22216042,22.98522502,140,
員林,彰化縣,90,細懸浮微粒,普通,1.9,1.0,0.36,0.3,66.0,56.0,67.0,42.0,43.0,26.9,7.0,8.7,1.5,3.7,288.0,2026-03-21 16:00:00,120.5631893,23.9615945,139,
臺灣大道,臺中市,66,細懸浮微粒,普通,0.4,0.0,0.41,0.4,50.0,44.0,42.0,30.0,21.0,18.1,12.0,20.2,7.7,1.8,331.0,2026-03-21 16:00:00,120.6567111,24.1589,88,
大城,彰化縣,59,細懸浮微粒,普通,0.7,1.0,0.2,0.1,62.0,57.0,30.0,30.0,14.0,15.5,1.0,3.0,1.6,6.9,236.0,2026-03-21 16:00:00,120.26964167,23.85493056,85,
富貴角,新北市,58,臭氧八小時,普通,0.4,0.0,0.19,0.1,59.0,57.0,18.0,25.0,6.0,9.8,1.0,1.1,0.0,6.5,37.0,2026-03-21 16:00:00,121.53656894,25.29681695,84,
麥寮,雲林縣,55,懸浮微粒,普通,0.6,0.0,0.19,0.2,57.0,53.0,34.0,35.0,15.0,13.3,2.0,4.6,2.0,6.1,1.0,2026-03-21 16:00:00,120.251825,23.753506,83,
關山,臺東縣,35,,良好,0.2,0.0,0.2,0.2,45.0,38.0,18.0,14.0,7.0,8.7,2.0,3.0,1.0,2.2,212.0,2026-03-21 16:00:00,121.161933,23.045083,80,
馬公,澎湖縣,53,細懸浮微粒,普通,0.4,0.0,0.19,0.1,55.0,54.0,16.0,23.0,13.0,13.1,2.0,3.4,1.2,6.0,27.0,2026-03-21 16:00:00,119.566158,23.569031,78,
金門,金門縣,67,細懸浮微粒,普通,2.0,1.0,0.33,0.3,64.0,58.0,31.0,30.0,17.0,18.2,10.0,11.4,1.0,2.0,81.0,2026-03-21 16:00:00,118.312256,24.432133,77,
馬祖,連江縣,47,,良好,0.7,0.0,0.17,0.2,55.0,51.0,22.0,21.0,8.0,11.6,4.0,5.8,1.0,2.5,330.0,2026-03-21 16:00:00,119.952724,26.153736,75,
埔里,南投縣,69,細懸浮微粒,普通,1.1,1.0,0.27,0.2,58.0,45.0,31.0,30.0,18.0,19.2,4.0,5.2,0.6,2.0,283.0,2026-03-21 16:00:00,120.967903,23.968842,72,
復興,高雄市,90,細懸浮微粒,普通,0.8,0.0,0.23,0.4,56.0,51.0,60.0,60.0,19.0,26.9,6.0,8.1,1.5,1.8,274.0,2026-03-21 16:00:00,120.312017,22.608711,71,
永和,新北市,40,,良好,0.7,1.0,0.3,0.3,46.0,43.0,11.0,12.0,8.0,6.9,7.0,9.7,2.6,1.6,80.0,2026-03-21 16:00:00,121.516306,25.017,70,
竹山,南投縣,95,細懸浮微粒,普通,2.5,1.0,0.26,0.3,74.0,58.0,46.0,52.0,29.0,28.6,5.0,7.0,1.1,2.1,310.0,2026-03-21 16:00:00,120.677306,23.756389,69,
中壢,桃園市,56,細懸浮微粒,普通,0.9,0.0,0.47,0.4,31.0,26.0,41.0,33.0,12.0,14.2,22.0,31.2,8.2,0.5,23.0,2026-03-21 16:00:00,121.221667,24.953278,68,
三重,新北市,54,二氧化氮,普通,1.5,1.0,0.7,0.7,28.0,25.0,9.0,15.0,6.0,7.1,27.0,46.7,19.2,,,2026-03-21 16:00:00,121.493806,25.072611,67,
冬山,宜蘭縣,45,,良好,1.2,1.0,0.18,0.2,45.0,49.0,13.0,12.0,7.0,9.2,5.0,7.1,1.5,0.9,77.0,2026-03-21 16:00:00,121.792928,24.632203,66,
宜蘭,宜蘭縣,39,,良好,0.9,0.0,0.17,0.2,45.0,42.0,10.0,9.0,4.0,5.1,4.0,5.0,0.3,1.0,198.0,2026-03-21 16:00:00,121.746394,24.747917,65,
陽明,臺北市,46,,良好,1.3,1.0,0.22,0.1,50.0,50.0,4.0,4.0,2.0,0.7,1.0,1.7,0.4,1.8,140.0,2026-03-21 16:00:00,121.529583,25.182722,64,
花蓮,花蓮縣,46,,良好,1.0,1.0,0.24,0.2,54.0,50.0,21.0,17.0,9.0,9.2,3.0,3.9,0.7,2.2,82.0,2026-03-21 16:00:00,121.599769,23.971306,63,
臺東,臺東縣,46,,良好,0.5,0.0,0.23,0.2,53.0,50.0,21.0,23.0,11.0,10.8,2.0,3.8,0.8,2.9,42.0,2026-03-21 16:00:00,121.15045,22.755358,62,
恆春,屏東縣,43,,良好,1.1,0.0,0.2,0.1,43.0,46.0,18.0,15.0,9.0,7.1,0.0,1.8,0.9,1.4,340.0,2026-03-21 16:00:00,120.788928,21.958069,61,
潮州,屏東縣,82,細懸浮微粒,普通,0.8,0.0,0.25,0.2,69.0,58.0,45.0,47.0,20.0,24.0,3.0,3.7,0.3,3.1,185.0,2026-03-21 16:00:00,120.561175,22.523108,60,
屏東,屏東縣,105,細懸浮微粒,對敏感族群不健康,2.2,1.0,0.38,0.3,67.0,62.0,54.0,59.0,26.0,32.3,10.0,10.9,0.8,3.0,260.0,2026-03-21 16:00:00,120.488033,22.673081,59,
小港,高雄市,93,細懸浮微粒,普通,1.0,1.0,0.22,0.3,54.0,50.0,39.0,58.0,17.0,27.7,7.0,8.3,0.8,4.8,295.0,2026-03-21 16:00:00,120.337736,22.565833,58,
前鎮,高雄市,79,細懸浮微粒,普通,1.3,1.0,0.23,0.3,57.0,54.0,46.0,51.0,12.0,22.6,6.0,7.9,1.3,2.6,325.0,2026-03-21 16:00:00,120.30833356,22.6044507,57,
前金,高雄市,88,懸浮微粒,普通,0.6,1.0,0.21,0.3,57.0,52.0,54.0,64.0,13.0,22.6,7.0,8.6,0.8,5.8,350.0,2026-03-21 16:00:00,120.28676111,22.63390278,56,
左營,高雄市,91,懸浮微粒,普通,1.1,1.0,0.18,0.4,53.0,51.0,62.0,67.0,18.0,25.7,7.0,9.1,1.3,4.3,295.0,2026-03-21 16:00:00,120.292917,22.674861,54,
楠梓,高雄市,82,懸浮微粒,普通,1.3,1.0,0.2,0.2,59.0,52.0,45.0,59.0,17.0,23.3,5.0,6.3,0.9,2.4,352.0,2026-03-21 16:00:00,120.328289,22.733667,53,
林園,高雄市,94,細懸浮微粒,普通,1.8,2.0,0.19,0.3,48.0,55.0,60.0,64.0,18.0,28.1,8.0,9.1,1.1,3.5,274.0,2026-03-21 16:00:00,120.41175,22.4795,52,
大寮,高雄市,109,細懸浮微粒,對敏感族群不健康,1.6,2.0,0.23,0.4,61.0,59.0,65.0,69.0,15.0,33.9,6.0,7.4,0.7,2.4,317.0,2026-03-21 16:00:00,120.425311,22.56413611,51,
鳳山,高雄市,87,細懸浮微粒,普通,1.6,1.0,0.4,0.4,55.0,53.0,65.0,62.0,16.0,25.5,11.0,12.4,1.3,1.6,287.0,2026-03-21 16:00:00,120.357422,22.628126,50,
仁武,高雄市,98,細懸浮微粒,普通,1.2,1.0,0.23,0.3,57.0,52.0,53.0,62.0,17.0,29.5,20.0,21.7,1.3,3.1,313.0,2026-03-21 16:00:00,120.332631,22.689056,49,
橋頭,高雄市,85,細懸浮微粒,普通,1.3,1.0,0.21,0.2,55.0,50.0,50.0,59.0,15.0,24.8,5.0,7.0,1.3,2.9,345.0,2026-03-21 16:00:00,120.305689,22.757506,48,
美濃,高雄市,71,細懸浮微粒,普通,1.6,1.0,0.24,0.2,58.0,50.0,39.0,36.0,17.0,19.8,3.0,4.6,1.4,2.8,303.0,2026-03-21 16:00:00,120.530542,22.883583,47,
臺南,臺南市,76,懸浮微粒,普通,0.8,0.0,0.19,0.2,56.0,51.0,49.0,53.0,12.0,18.8,5.0,5.9,0.5,3.7,359.0,2026-03-21 16:00:00,120.21947897,22.98928311,46,
安南,臺南市,78,懸浮微粒,普通,1.2,0.0,0.22,0.2,58.0,53.0,60.0,55.0,15.0,19.9,3.0,4.5,1.1,4.9,312.0,2026-03-21 16:00:00,120.2175,23.048197,45,
善化,臺南市,69,細懸浮微粒,普通,0.9,0.0,0.18,0.2,55.0,49.0,42.0,47.0,13.0,19.2,3.0,4.1,0.9,6.0,11.0,2026-03-21 16:00:00,120.29740529,23.11337642,44,
新營,臺南市,71,懸浮微粒,普通,0.7,0.0,0.19,0.2,52.0,47.0,48.0,49.0,15.0,17.4,4.0,6.1,1.6,3.6,12.0,2026-03-21 16:00:00,120.31725,23.305633,43,
嘉義,嘉義市,75,細懸浮微粒,普通,1.7,2.0,0.22,0.3,53.0,47.0,45.0,50.0,17.0,21.2,3.0,4.0,0.7,4.4,1.0,2026-03-21 16:00:00,120.44125148,23.46477865,42,
臺西,雲林縣,52,細懸浮微粒,普通,1.0,1.0,0.2,0.2,55.0,52.0,34.0,31.0,13.0,12.9,2.0,3.9,1.0,6.6,13.0,2026-03-21 16:00:00,120.19933333,23.702175,41,
